R,l,n_grid,c,gamma
19,10,1024,26.637603766168468,0.34712790250691644
20,1,2,0.1123724973298641,0.028093124332466024
20,2,4,0.2577537582310008,0.12692363802474915
20,3,8,0.1138857277667924,0.12117967288355994
20,4,16,2.2246726927146767,0.30532090406357526
20,5,32,1.0869764040654104,0.25420496691552363
20,6,64,11.492877960280566,0.3755589716272814
20,7,128,17.289668536419413,0.3756355400080198
20,8,256,24.62262541061864,0.3731271091932434
20,9,512,29.235687971275183,0.36376362261954964
20,10,1024,39.730595292698126,0.3612871506032649
21,1,2,0.16128291957127594,0.040320729892818985
21,2,4,0.1832346819938655,0.10701480096050543
21,3,8,0.5400747578551837,0.20359071544255827
21,4,16,1.441486814969295,0.27393194255234854
21,5,32,4.909705156014468,0.34367749253504587
21,6,64,18.78739813244374,0.4076158988876245
21,7,128,17.828545847206442,0.3772861430102553
21,8,256,23.7373680740493,0.37142324433071344
21,9,512,25.456198262036196,0.3582113079199222
21,10,1024,24.696281932352576,0.3445110578466239
22,1,2,0.008816057365275798,0.0022040143413189495
22,2,4,0.06526629913027637,0.0638681743565782
22,3,8,1.1341482020644094,0.26071335488951203
22,4,16,2.0263928641283258,0.29827779266108106
22,5,32,15.337379445235058,0.43160875054271564
22,6,64,3.677303768564798,0.3105953335261005
22,7,128,19.00779772818987,0.38075406775501397
22,8,256,26.900295118481154,0.37727639989826994
22,9,512,30.023519392998423,0.3648399677007063
22,10,1024,32.920331716304645,0.35455729789537804
23,1,2,0.054678439380297705,0.013669609845074426
23,2,4,0.6911062753958355,0.20783200478328576
23,3,8,1.36049127194741,0.27701626027734144
23,4,16,2.9157152420289947,0.3266828121749372
23,5,32,5.984863216030021,0.35756158560313905
23,6,64,3.331819698095842,0.3055298104196893
23,7,128,21.024949782447948,0.3862799324965979
23,8,256,30.338285151279706,0.3829912811388909
23,9,512,35.60008008548175,0.37181204117022065
23,10,1024,45.32077632914297,0.3660747232535594
24,1,2,0.14942154063604818,0.037355385159012044
